"lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"dQ19A","|","t3","",1.02862716738251,0.0899627009341757,11.4339293585143,0,0.852303513599578,1.20495082116544,1.02862716738251,0.848467908964578,0.848467908964578
"dQ20A","|","t1","",-0.128266462359805,0.0889892207722528,-1.44137077779423,0.149479961343184,-0.302682130085704,0.0461492053660944,-0.128266462359805,-0.099624486596628,-0.099624486596628
"dQ20A","|","t2","",0.789492929189643,0.0949098051786483,8.31834948668986,0,0.60347312925978,0.975512729119507,0.789492929189643,0.613198698203389,0.613198698203389
"dQ20A","|","t3","",1.52811319598234,0.105229933600711,14.5216588445325,0,1.3218663160294,1.73436007593527,1.52811319598234,1.18688462915759,1.18688462915759
"dQ1S","|","t1","",-0.454301565994418,0.0722972340323209,-6.28380286016641,3.30389715585966e-10,-0.596001540879631,-0.312601591109206,-0.454301565994418,-0.432510462047213,-0.432510462047213
"dQ1S","|","t2","",0.38180385484933,0.0722138270332277,5.28712949493247,1.24250683963822e-07,0.240267354678399,0.523340355020261,0.38180385484933,0.363490188088675,0.363490188088675
"dQ1S","|","t3","",0.971525136078006,0.0769981854427129,12.6175068995727,0,0.820611465735352,1.12243880642066,0.971525136078006,0.924924800943219,0.924924800943219
"dQ6S","|","t1","",-0.633254917866672,0.0850395134104193,-7.44659620534804,9.57012247226885e-14,-0.799929301413905,-0.466580534319439,-0.633254917866672,-0.525637632367279,-0.525637632367279
"dQ6S","|","t2","",0.314057738692513,0.0838399502509162,3.74591990754528,0.000179733932414772,0.149734455735087,0.478381021649938,0.314057738692513,0.260685802092279,0.260685802092279
"dQ6S","|","t3","",0.993178720634888,0.0902593317872965,11.0036126012476,0,0.816273681063136,1.17008376020664,0.993178720634888,0.824394878749288,0.824394878749288
"dQ8S","|","t1","",-1.03924109592728,0.0954934800161612,-10.8828487112565,0,-1.22640487751735,-0.852077314337209,-1.03924109592728,-0.792477081099432,-0.792477081099432
"dQ8S","|","t2","",0.0354101788278611,0.0892145038923963,0.396910561432592,0.691433415685897,-0.139447035699844,0.210267393355566,0.0354101788278611,0.0270021607774024,0.0270021607774024
"dQ8S","|","t3","",0.815481196526331,0.093764375915598,8.69713245103222,0,0.631706396698884,0.999255996353778,0.815481196526331,0.621848155204093,0.621848155204093
"dQ11S","|","t1","",-0.832528044585439,0.0975759267854028,-8.53210491575863,0,-1.02377334684295,-0.641282742327933,-0.832528044585439,-0.597877723053212,-0.597877723053212
"dQ11S","|","t2","",0.188047910174769,0.095863268029089,1.96162632508738,0.0498060050724882,0.000159357397444104,0.375936462952093,0.188047910174769,0.135046088947298,0.135046088947298
"dQ11S","|","t3","",1.05286842992174,0.102938884805725,10.2280924444519,0,0.851111923093798,1.25462493674967,1.05286842992174,0.756114564128194,0.756114564128194
"dQ12S","|","t1","",-0.283663981959826,0.0839135852761608,-3.38042977220296,0.000723725673349662,-0.448131586914732,-0.11919637700492,-0.283663981959826,-0.232456301885532,-0.232456301885532
"dQ12S","|","t2","",0.556168694882501,0.0868498031329553,6.40379914311471,1.5155743327e-10,0.385946208677514,0.726391181087487,0.556168694882501,0.455767831868055,0.455767831868055
"dQ12S","|","t3","",1.48613231585667,0.103794193657118,14.3180679332226,0,1.28269943448434,1.68956519722899,1.48613231585667,1.21785226263075,1.21785226263075
