id,theta15,se15,raw_sum15
248,2.5632335860116724,0.4823008178454623,44
249,0.29159752551675217,0.3985941704227526,22
250,-0.27950324087539513,0.3939418529605555,13
251,-1.8615503118089645,0.4840746436180173,2
252,-1.024355596536943,0.3902418077712233,7
253,-0.3355676792706239,0.40145257856157535,15
254,0.6378601434686185,0.36230449401032205,23
255,-0.5088736626759054,0.36397084956825454,11
256,0.3424259010873481,0.3181459395240327,21
257,0.2292949327353656,0.3239743965490479,18
258,0.9635408366665046,0.34155086510220173,31
259,0.4182684985033426,0.33070732095329336,22
260,0.3073321075774775,0.3200641227886858,21
261,-0.745176951084209,0.37703485737446063,12
262,0.2607605016097875,0.36238942448096045,22
263,-0.653379848837635,0.355986801966573,10
264,-1.2698144765811648,0.4279957927672913,6
265,0.24420218181101147,0.3329310073081463,21
266,0.9583336269573748,0.3636388339663848,28
267,0.10840379704961707,0.40599703980938623,18
268,-0.2772588760801131,0.36759207164579966,18
269,0.9847783442701376,0.3442311288729055,29
270,-0.3432380176302188,0.34667685789529923,11
271,0.8490747287362368,0.3585131529352941,28
272,-0.6470855370862384,0.3635956576675315,11
273,-0.4397276080031062,0.40102958232631625,15
274,-0.5026896968646235,0.37254771337743203,12
275,-0.9549657942916595,0.423642651242177,11
276,-0.1384273226188774,0.37104230367094154,17
277,-0.5269529555505021,0.3641360580180763,13
278,0.5788569790530846,0.3731199445394095,26
279,0.2753399915775325,0.371172012175078,23
280,0.45626158430079927,0.3435191997882014,25
281,0.605982097723972,0.33083408912334056,26
282,0.48832719840805494,0.3427143281499114,26
283,-0.14173454609373004,0.3847517397522197,15
284,0.14899717314184588,0.37834142878501253,23
285,0.631390782142239,0.3446006754150744,24
286,0.08706750087135653,0.4051935732804709,22
287,0.11702794117260812,0.3287338790224551,19
288,1.5083381491699615,0.3551552165164002,36
289,0.6501468800520529,0.3735490569391992,27
291,0.12078403739914462,0.3256533162316929,19
292,0.34657739023453515,0.41296640049582567,16
293,-0.24781625171700516,0.35906435263550235,15
294,-0.32477188733869666,0.3295244201694966,13
295,-1.1523646479382035,0.39409737404504913,7
296,0.13567261098106406,0.3281375049607211,19
297,0.3065204059414494,0.39599851667195807,15
298,0.6818770585502743,0.3112798260150721,27
299,0.19759630250245977,0.3123312104487897,19
300,0.32606366807318626,0.4040156465509632,19
301,0.19759630250245977,0.3123312104487897,19
302,0.5752711146544515,0.36236058565606233,22
303,0.8054826376670503,0.3943700749756789,23
305,0.12096699767801224,0.35661705681289607,20
306,0.2554100942975466,0.3095220705340956,20
307,0.4791326881423805,0.3347967392258437,19
308,-1.3137016731935112,0.40927479446325726,7
309,-1.6140235764733757,0.44807813457223256,3
310,-1.1600072357223812,0.39341363878408614,8
311,-0.7449108784033586,0.41092761656666094,5
313,-0.7459699729989316,0.3515420066995911,8
317,0.49595692282430137,0.32784333045026537,25
318,0.4205536319132491,0.3962396527186194,24
319,-0.06993687969014861,0.35937263146306303,15
320,-0.9297812915357047,0.40117918183044093,7
321,0.39223717523708684,0.3122751581694619,21
322,0.6559522447572346,0.32306153754476025,25
323,-2.4398307850502734,0.575771578717555,0
324,-0.8934256327711076,0.36652469778621566,8
325,-0.11408311050152779,0.36053871507348445,16
326,0.42787607458997884,0.3441218473418523,23
327,0.8480203499360124,0.32949455344097794,29
328,0.8833854855940424,0.36987979757183354,28
329,1.007014888709724,0.4335905102476109,26
330,2.805744931633859,0.5177993266752735,44
331,0.453699272174801,0.3270272568974363,23
332,-0.5871328357849068,0.363110933213192,11
333,-0.5241730802033332,0.33542653629636543,10
334,-0.7184975921827214,0.3630042225055234,10
335,0.4022987203323627,0.33063367333260546,21
336,-0.058210757080306125,0.3347118738763569,16
337,-0.2501633954343595,0.3180065649717173,12
338,-0.939614918763603,0.41698748164200994,9
339,-0.890008564786349,0.36525174216749473,9
340,-0.8914017906878863,0.42051577675696367,11
341,0.7648758347803909,0.3444187145623095,26
342,-0.3049944851111445,0.35899273592696984,12
343,-1.5023514896728138,0.43323786524070773,3
344,-1.306948364273208,0.49554972356231897,5
345,-0.41396437729115215,0.3470280350757064,11
346,-0.11432797742404383,0.3267790148051681,15
347,-0.14383267419428125,0.3371386069023381,15
348,-1.1396306148528381,0.4479047857869441,4
349,-0.04268368288794397,0.3478545431353645,15
350,0.4948189533880639,0.38128944145461713,23
352,-0.9179765244407467,0.3668698909964586,7
353,0.2964135994615389,0.3263518821163261,21
354,0.4996301221988806,0.3903425924674774,23
355,-0.5234756927663348,0.3631504408065944,12
356,-0.2721980856336766,0.45940078345683055,4
357,-0.6028989892278003,0.3818543323374618,12
358,-0.21095656455955353,0.3392819408085686,14
359,0.04327940836704319,0.32295448433304896,16
360,-0.09257861967416549,0.3542618082053866,17
361,1.3578931306976119,0.375566116605881,33
362,0.26825794466605624,0.4237637130838223,21
363,1.744090585849633,0.38538187558515863,36
364,0.8731823907931588,0.34101502988462373,29
368,2.6150486494641725,0.4853228121620836,43
369,2.0638931345744713,0.41864377217923004,38
370,1.966577971072197,0.41863927315407606,38
371,1.2611164668816044,0.33104029525379014,33
373,1.0272342961715182,0.3788715724951338,29
374,2.0374212246491297,0.43290437085227634,37
375,-0.2714870080476748,0.34046624690686966,13
377,0.16161940819392226,0.3701771261911792,19
379,0.6099674265866568,0.3660026324247242,24
380,-1.223501673151844,0.39769022448084224,5
381,2.3207147678050353,0.5213416193374522,31
382,2.0035973419317963,0.4416052518504571,38
383,0.7326064874750781,0.334334449997128,28
384,1.206962353202338,0.32537963384146545,34
385,0.6395953891563524,0.32264136602987026,25
386,1.1084135713206438,0.3429157237896001,31
387,-0.5504332604408182,0.33508465165641677,10
388,-0.7482988272555052,0.3738174364805431,9
389,0.9436746074213297,0.4476612991129855,26
390,1.2474312311630738,0.33350651358941114,34
391,-0.522777176758456,0.34801991848055247,11
393,1.2702241232688776,0.3938203972319776,31
394,1.2132359463500155,0.39404915284837044,28
395,1.8814670122733876,0.38587981250146425,40
396,-1.1149853946234807,0.40402645998481646,6
397,1.5567373878590594,0.3691034545305725,36
398,0.846978645326712,0.3255988516915127,30
399,0.7992332252399666,0.3514772965927711,27
400,-0.5362401553478271,0.3452289179130314,11
401,0.9324837844920097,0.3984803933490071,29
402,-0.035705646524544485,0.3359144554920738,18
403,-0.20959236240673546,0.33007557093123796,14
404,0.02335737182740757,0.3420874845298074,18
405,1.2820227609518562,0.3575340593611095,32
406,-0.8829379016973077,0.40549960095117366,8
407,-0.10445786397801836,0.3293812830496193,16
408,-0.6511311964269096,0.36731483090555067,12
409,-0.3708606931118284,0.3522851321567626,9
410,-0.30129844405120826,0.35003700564644946,12
412,-0.04919190330604191,0.33420764068961545,15
413,-0.1339614223376053,0.36943146813865124,16
414,-1.1545252951271316,0.410055221661116,6
416,-0.8051347495290327,0.3698904979370881,12
417,-0.842303799764842,0.42981005371976505,8
418,0.08026826612654132,0.3702319726285252,19
419,0.23860403752030088,0.36754211157983246,18
420,-1.2757339982457945,0.409382379704613,7
421,-0.9119786832205561,0.3948569674550947,10
422,-1.0486657091295863,0.4027917494492512,8
423,-0.34544283297873224,0.368460533933548,14
424,1.0881209003193753,0.32793241001664963,33
425,0.2519057046822287,0.33302466798372565,20
426,0.2218397259730514,0.3318385559105929,20
427,-0.1759823777598341,0.3902717101221413,10
428,1.1264233424364118,0.3612866636105917,30
429,0.7970948488817537,0.35447968186109036,27
430,0.9847915840620518,0.3305446736946939,30
