"lhs","op","rhs","group","label","est.std","se","z","pvalue","ci.lower","ci.upper"
"dQ4A","|","t3",1,".p60.",1.32069827083672,0.102820830806872,12.8446566758188,0,1.11917314559476,1.52222339607867
"dQ7A","|","t1",1,".p61.",-0.194102346270606,0.0661657730148724,-2.93357634054962,0.00335081239906931,-0.323784878389008,-0.0644198141522039
"dQ7A","|","t2",1,".p62.",0.495331944195095,0.0679506676503075,7.28958171160594,3.10862446895044e-13,0.362151082875042,0.628512805515149
"dQ7A","|","t3",1,".p63.",1.0645012219911,0.0872891598381131,12.1951136196674,0,0.893417612467636,1.23558483151456
"dQ9A","|","t1",1,".p64.",-0.905576436070491,0.0812616424704607,-11.1439592966593,0,-1.06484632863716,-0.746306543503818
"dQ9A","|","t2",1,".p65.",-0.0353661633738554,0.0656027906376501,-0.539095410882695,0.589821021959622,-0.163945270308971,0.0932129435612602
"dQ9A","|","t3",1,".p66.",0.702623760981272,0.071896386755217,9.77272701302042,0,0.561709432322484,0.84353808964006
"dQ15A","|","t1",1,".p67.",-0.289720428731808,0.0705284992357067,-4.10784905210531,3.99360958600603e-05,-0.427953747117453,-0.151487110346162
"dQ15A","|","t2",1,".p68.",0.444433529699823,0.0707281878503616,6.28368325567881,3.30643956658605e-10,0.30580882882133,0.583058230578315
"dQ15A","|","t3",1,".p69.",1.15466794432362,0.0915469874477914,12.6128447971281,0,0.975239146032812,1.33409674261443
"dQ19A","|","t1",1,".p70.",-0.315261079202376,0.0643791170372478,-4.89694630356574,9.73374222112966e-07,-0.441441829951871,-0.189080328452882
"dQ19A","|","t2",1,".p71.",0.369901755442318,0.0634596675750013,5.8289267747131,5.57849744176053e-09,0.245523092524431,0.494280418360204
"dQ19A","|","t3",1,".p72.",0.963958643417859,0.0869432808024106,11.0872126577392,0,0.793552944347381,1.13436434248834
"dQ20A","|","t1",1,".p73.",-0.0799882321577972,0.0610269176070888,-1.31070411703877,0.1899577471998,-0.199598792755184,0.0396223284395901
"dQ20A","|","t2",1,".p74.",0.628067882765311,0.0696310017797244,9.0199460974608,0,0.491593627069607,0.764542138461015
"dQ20A","|","t3",1,".p75.",1.221654910855,0.0925998429985701,13.1928399800188,0,1.04016255360374,1.40314726810626
"dQ1S","|","t1",1,".p76.",-0.516275004360895,0.071000305734775,-7.27144762290834,3.557154570899e-13,-0.655433046492386,-0.377116962229403
"dQ1S","|","t2",1,".p77.",0.37851527434499,0.0643849975743262,5.87893591062158,4.12912193326065e-09,0.252322997954612,0.504707550735368
"dQ1S","|","t3",1,".p78.",1.01243650850704,0.0936515165179904,10.8106792730105,0,0.828882909034224,1.19599010797986
"dQ6S","|","t1",1,".p79.",-0.530806645907748,0.0707065940882324,-7.50717316754603,6.03961325396085e-14,-0.669389023790176,-0.392224268025319
"dQ6S","|","t2",1,".p80.",0.293162456159334,0.0660209190734882,4.44044797124095,8.97718076187104e-06,0.163763832549064,0.422561079769604
"dQ6S","|","t3",1,".p81.",0.915693603403558,0.0870275819967304,10.5218780344599,0,0.74512267702836,1.08626452977876
"dQ8S","|","t1",1,".p82.",-0.858718183809382,0.0810350767018856,-10.5968701303074,0,-1.01754401562952,-0.699892351989245
"dQ8S","|","t2",1,".p83.",-0.0186377238093232,0.0653322297506464,-0.285276101557498,0.775432620657199,-0.146686541150286,0.10941109353164
"dQ8S","|","t3",1,".p84.",0.615845627252526,0.0769050667968831,8.00786804956634,1.11022302462516e-15,0.465114466101988,0.766576788403064
"dQ11S","|","t1",1,".p85.",-0.554785536677266,0.0734704618225987,-7.55113719057391,4.30766533554561e-14,-0.698784995777085,-0.410786077577448
"dQ11S","|","t2",1,".p86.",0.118847150109208,0.0634135224940202,1.87416099019598,0.0609082390740106,-0.0054410701118924,0.243135370330308
"dQ11S","|","t3",1,".p87.",0.710714829661118,0.0752287934101689,9.447377758488,0,0.563269103976783,0.858160555345453
"dQ12S","|","t1",1,".p88.",-0.210510908472246,0.0610494485875228,-3.44820327362088,0.00056432915406357,-0.33016562897982,-0.0908561879646716
"dQ12S","|","t2",1,".p89.",0.459425540315934,0.0640061512285115,7.17783418465072,7.0832228971085e-13,0.333975789119027,0.584875291512841
"dQ12S","|","t3",1,".p90.",1.15727383301402,0.0949892308079004,12.1832109089757,0,0.971098361711375,1.34344930431667
