"lhs","op","rhs","group","label","est.std","se","z","pvalue","ci.lower","ci.upper"
"dQ20A","|","t2",1,".p74.",0.795058740897778,0.0647074419103953,12.2869753064686,0,0.668234485221686,0.921882996573871
"dQ20A","|","t3",1,".p75.",1.4205095355007,0.0915538340940382,15.5155657822222,0,1.24106731802983,1.59995175297157
"dQ1S","|","t1",1,".p76.",-0.376560710591505,0.0637686452944202,-5.90510757838625,3.52416695825752e-09,-0.501544958711478,-0.251576462471532
"dQ1S","|","t2",1,".p77.",0.456435361322636,0.0592961838281824,7.69755036251929,1.37667655053519e-14,0.340216976598732,0.57265374604654
"dQ1S","|","t3",1,".p78.",1.03494889001727,0.0849697114728071,12.1802095367652,0,0.868411315753809,1.20148646428073
"dQ6S","|","t1",1,".p79.",-0.353194989352387,0.0638106153737222,-5.53505066960749,3.11138392827814e-08,-0.478261497316221,-0.228128481388554
"dQ6S","|","t2",1,".p80.",0.461212839136634,0.0585741886698995,7.87399449501288,3.33066907387547e-15,0.346409538919977,0.576016139353291
"dQ6S","|","t3",1,".p81.",1.08324656168486,0.0751995238838518,14.4049656931069,0,0.935858203217952,1.23063492015177
"dQ8S","|","t1",1,".p82.",-0.651119879418801,0.0711779896377724,-9.14777001615774,0,-0.7906261756008,-0.511613583236802
"dQ8S","|","t2",1,".p83.",0.175361312614176,0.0579663809402133,3.02522444509765,0.0024844868109688,0.0617492936572289,0.288973331571123
"dQ8S","|","t3",1,".p84.",0.825188323728684,0.0668421091140441,12.345336415414,0,0.694180197214461,0.956196450242907
"dQ11S","|","t1",1,".p85.",-0.351231009831625,0.0657265658322726,-5.3438211077075,9.10073880699969e-08,-0.48005271169038,-0.22240930797287
"dQ11S","|","t2",1,".p86.",0.339472385409735,0.0565314384359029,6.00501941578294,1.91309013075625e-09,0.228672802081122,0.450271968738348
"dQ11S","|","t3",1,".p87.",0.939658649178325,0.0663386902374938,14.1645643863985,0,0.809637205531278,1.06968009282537
"dQ12S","|","t1",1,".p88.",-0.0792774623737,0.06153217141593,-1.28839045574745,0.197610079421556,-0.199878302239468,0.0413233774920676
"dQ12S","|","t2",1,".p89.",0.644121968353959,0.0608199771338165,10.59063154425,0,0.524917003631129,0.763326933076789
"dQ12S","|","t3",1,".p90.",1.41644233296371,0.0878899502238261,16.1160898300262,0,1.244181195922,1.58870347000543
"dQ14S","|","t1",1,".p91.",-0.778215954907869,0.0760200094098495,-10.2369884054111,0,-0.92721243545557,-0.629219474360168
