"lhs","op","rhs","est","se","t","df","pvalue","ci.lower","ci.upper"
"Anx","~","AY_4th_Yr",0.291267014634909,0.174622049320591,1.66798531896832,211282660.141834,0.0953186426682805,-0.0509859149006749,0.633519944170492
"Anx","~","RES_Suburb_Semi_Urban",0.224083433691629,0.142134298010441,1.57656130032153,204263.781131309,0.114898051929569,-0.0544963221004445,0.502663189483703
"Anx","~","RES_Rural",0.108614676504435,0.132231502342585,0.82139788613334,66378.722199144,0.411422617298846,-0.15055903153948,0.36778838454835
"Anx","~","cgpa",-0.096678490391101,0.185031270330185,-0.522498117310551,119.099895887643,0.602294113904332,-0.463055729515803,0.269698748733601
"Anx","~","family_income",1.97309808834771e-07,9.02927323625894e-07,0.218522359078062,1961.20147039676,0.827044875229841,-1.57348807080094e-06,1.96810768847048e-06
"Str","~","BRS",-0.543890623852108,0.0679335797913668,-8.00621173685341,7381622.54912886,1.18312951897456e-15,-0.677038015416244,-0.410743232287973
"Str","~","G_Female",0.809692443599592,0.123307146441227,6.56646809992901,135295.856671796,5.17081057691656e-11,0.568012715457622,1.05137217174156
"Str","~","AY_1st_Yr",-0.136211872487866,0.129563321243998,-1.05131507266125,21704.6149028556,0.293125611355164,-0.390165477633058,0.117741732657326
"Str","~","AY_3rd_Yr",0.276990096617054,0.169378484411471,1.63533224175133,200475.439459764,0.10198098812038,-0.0549876368912293,0.608967830125338
"Str","~","AY_4th_Yr",0.307757055613246,0.191762611823139,1.6048856066744,92193816.5529792,0.108518985092011,-0.0680907620757513,0.683604873302243
"Str","~","RES_Suburb_Semi_Urban",0.218564150065092,0.146498726557436,1.49191842960766,266269.584942184,0.135721715351347,-0.0685693829729889,0.505697683103173
"Str","~","RES_Rural",0.12434673385065,0.133570959567641,0.930941383165551,205346.054827447,0.351884980713679,-0.137449079376945,0.386142547078245
"Str","~","cgpa",-0.333947464198223,0.19205043206733,-1.73885297004251,395.314038234725,0.0828391229303818,-0.711515361510295,0.0436204331138484
"Str","~","family_income",-4.1155884241712e-07,8.64052301866884e-07,-0.476312419430976,2141.72730174943,0.63390040484268,-2.10602782901524e-06,1.282910144181e-06
"Dep","~~","Anx",0.696528888821797,0.0383960232440308,18.140651816854,194005.417025421,1.75131329108374e-73,0.621273596609828,0.771784181033766
"Dep","~~","Str",0.760607476610446,0.0404528577360675,18.8023175413957,7876400.95682717,7.25766925266088e-79,0.681321320192146,0.839893633028746
"Anx","~~","Str",0.922480798689919,0.0327799197417284,28.1416429923595,352013.450981863,4.73677026862432e-174,0.858233115670495,0.986728481709342
"dQ3D","|","t1",-0.379901741662642,0,NA,NA,NA,-0.379901741662642,-0.379901741662642
"dQ3D","|","t2",0.215940919062116,0,NA,NA,NA,0.215940919062116,0.215940919062116
"dQ3D","|","t3",0.856685215700965,0,NA,NA,NA,0.856685215700965,0.856685215700965
"dQ5D","|","t1",-0.773466541480221,0,NA,NA,NA,-0.773466541480221,-0.773466541480221
"dQ5D","|","t2",0.0815211492116383,0,NA,NA,NA,0.0815211492116383,0.0815211492116383
"dQ5D","|","t3",0.743080273261883,0,NA,NA,NA,0.743080273261883,0.743080273261883
"dQ10D","|","t1",-1.09864022978165,0,NA,NA,NA,-1.09864022978165,-1.09864022978165
"dQ10D","|","t2",-0.444724158418483,0,NA,NA,NA,-0.444724158418483,-0.444724158418483
"dQ10D","|","t3",0.114465528357288,0,NA,NA,NA,0.114465528357288,0.114465528357288
