"lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper"
"Dep","~","AY_3rd_Yr",-0.146316027810652,0.040433675631711,-3.61866749744366,0.000296123813856797,-0.225564575811381,-0.0670674798099239
"Dep","~","AY_4th_Yr",-0.140449026038904,0.0439194374463703,-3.19787852953274,0.00138442582718667,-0.226529541655049,-0.0543685104227582
"Dep","~","DG_Mathematics_Natural_Sciences",-0.0314597400253032,0.0628776534358304,-0.500332603178479,0.616840900835375,-0.154697676191922,0.0917781961413155
"Dep","~","DG_Agriculture_Food_Sciences",0.161130600025916,0.0833954936550912,1.9321259814388,0.0533439582277582,-0.00232156401100103,0.324582764062834
"Dep","~","DG_Social_Behavioral_Sciences",-0.0383178003222267,0.0532834642537166,-0.71913117622704,0.472060099829078,-0.142751471231039,0.0661158705865853
"Dep","~","DG_Business_Law",-0.0590232281424584,0.0470134043096288,-1.25545531129236,0.209313521155553,-0.151167807379951,0.0331213510950342
"Dep","~","RES_Suburb_Semi_Urban",0.102956692509894,0.0472751417520193,2.17781880062785,0.0294195296294206,0.0102991173119108,0.195614267707878
"Dep","~","RES_Rural",-0.0125543697450581,0.0484525387530809,-0.259106541538235,0.795553037698965,-0.107519600660628,0.0824108611705117
"Dep","~","LIV_Mess_friends",0.051809230615869,0.0531020161269811,0.975654681207946,0.32923561721043,-0.0522688084994792,0.155887269731217
"Dep","~","LIV_Hall_Campus_Residence",-0.00123629462735745,0.0837926061040203,-0.0147542209848768,0.988228261963505,-0.165466784761988,0.162994195507273
"Anx","~","BRS",-0.447608523362671,0.0386039532791436,-11.5948882262403,0,-0.52327088145066,-0.371946165274683
"Anx","~","G_Female",0.32774045075192,0.042749354858245,7.66655898875417,1.77635683940025e-14,0.243953254867437,0.411527646636402
"Anx","~","AY_1st_Yr",-0.230134982657676,0.0359893290349913,-6.39453384735021,1.61037849721879e-10,-0.30067277139402,-0.159597193921331
"Anx","~","AY_2nd_Yr",-0.326865209767509,0.0425381040011822,-7.68405685778626,1.53210777398272e-14,-0.410238361580446,-0.243492057954573
"Anx","~","AY_3rd_Yr",-0.140887381148081,0.0415114577610311,-3.39393961925229,0.000688948810013912,-0.222248343305458,-0.0595264189907047
"Anx","~","AY_4th_Yr",-0.167117729501146,0.0441542023669735,-3.78486577816989,0.000153791558465732,-0.253658375906507,-0.0805770830957846
"Anx","~","DG_Mathematics_Natural_Sciences",-0.016571319060574,0.0626361535599272,-0.264564762022294,0.791344768885968,-0.139335924168151,0.106193286047004
"Anx","~","DG_Agriculture_Food_Sciences",0.0423962468774964,0.0838104207282098,0.505858895697277,0.612955709662789,-0.121869159278944,0.206661653033937
"Anx","~","DG_Social_Behavioral_Sciences",-0.0780590034085335,0.0501055144874129,-1.55789246367569,0.11925874202038,-0.176264007230713,0.0201460004136457
"Anx","~","DG_Business_Law",0.071579418964773,0.0460492632357883,1.55440964599719,0.120086733808006,-0.0186754784919763,0.161834316421522
