"lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper"
"dQ21D","|","t2",0.557842380516224,0.0513359060186706,10.8665147609032,0,0.457225853605897,0.658458907426552
"dQ21D","|","t3",0.994791156488881,0.0583027161961975,17.0625182048339,0,0.880519932543474,1.10906238043429
"dQ2A","|","t1",-0.510271947303107,0.0508576119134888,-10.0333446283538,0,-0.609951034993261,-0.410592859612954
"dQ2A","|","t2",0.0618752414605767,0.048525912260587,1.27509692405787,0.202274937985847,-0.0332337988871244,0.156984281808278
"dQ2A","|","t3",0.501757873534954,0.0507769736191319,9.88160258030621,0,0.402236833997515,0.601278913072393
"dQ4A","|","t1",0.0243566636630827,0.0484974071048904,0.502226100673877,0.615508485033742,-0.0706965076060795,0.119409834932245
"dQ4A","|","t2",0.624725354955905,0.0520931538183301,11.9924655960469,0,0.522624649630873,0.726826060280937
"dQ4A","|","t3",1.04514000859621,0.0594591391961268,17.5774493665104,0,0.928602237220047,1.16167777997237
"dQ7A","|","t1",-0.220978441513064,0.0489248682587607,-4.51668955640967,6.28138888303376e-06,-0.316869421248601,-0.125087461777526
"dQ7A","|","t2",0.373851143036462,0.0497439226428957,7.51551391956528,5.6621374255883e-14,0.276354846206639,0.471347439866284
"dQ7A","|","t3",0.862165223987468,0.055644736888322,15.4941019079274,0,0.753103543757149,0.971226904217786
"dQ9A","|","t1",-0.867461137142285,0.0557436159524611,-15.5616230185366,0,-0.976716616777141,-0.758205657507429
"dQ9A","|","t2",-0.0881641443066662,0.0485607265334225,-1.81554417737112,0.0694403233610101,-0.183341419375273,0.00701313076194036
"dQ9A","|","t3",0.575384845664694,0.0515253249385267,11.1670299285093,0,0.474397064493458,0.67637262683593
"dQ15A","|","t1",-0.322091991248771,0.0494174064893012,-6.51778420056308,7.1353589703449e-11,-0.418948328177178,-0.225235654320365
"dQ15A","|","t2",0.337917529915999,0.0495118160770368,6.82498758256462,8.79318839963616e-12,0.240876153595836,0.434958906236163
"dQ15A","|","t3",0.964414690978926,0.0576485294838545,16.729215811984,0,0.851425649428876,1.07740373252898
"dQ19A","|","t1",-0.349828338411312,0.0495861081592956,-7.05496663072421,1.72639680329212e-12,-0.447015324537039,-0.252641352285585
"dQ19A","|","t2",0.286757230346345,0.0492237489400416,5.82558696810433,5.69122127203059e-09,0.190280455239822,0.383234005452868
"dQ19A","|","t3",0.840616445604311,0.0552619353395441,15.2114912450919,0,0.732305042622823,0.948927848585799
"dQ20A","|","t1",-0.148547403094203,0.0486870914732939,-3.0510634050852,0.00228032414859092,-0.243972348893866,-0.0531224572945396
"dQ20A","|","t2",0.553461451924253,0.0512898888252571,10.7908491244712,0,0.452935117055685,0.65398778679282
"dQ20A","|","t3",1.13332617948224,0.0616939172172228,18.3701445880284,0,1.01240832367129,1.25424403529319
"dQ1S","|","t1",-0.451411419872765,0.0503307770151751,-8.9688943156324,0,-0.550057930136425,-0.352764909609106
"dQ1S","|","t2",0.32214225084192,0.0494174065139277,6.51880123962249,7.08715308661567e-11,0.225285913865247,0.418998587818593
"dQ1S","|","t3",0.856567741981251,0.055547151529053,15.4205520607702,0,0.747697325540518,0.965438158421984
"dQ6S","|","t1",-0.50599741259299,0.0508170598193209,-9.95723511734158,0,-0.605597019639077,-0.406397805546904
"dQ6S","|","t2",0.251797000845138,0.0490549667526461,5.13295630419636,2.85226144036699e-07,0.155651032747141,0.347942968943134
"dQ6S","|","t3",0.819456150416937,0.0548984348166634,14.9267670955203,0,0.711857195368657,0.927055105465217
"dQ8S","|","t1",-0.835109334493327,0.05516930360144,-15.1372100058832,0,-0.943239182604306,-0.726979486382349
"dQ8S","|","t2",-0.0355997739885104,0.0485033491465125,-0.733965274871541,0.462969902196792,-0.130664591445246,0.0594650434682257
"dQ8S","|","t3",0.584207092069706,0.0516233289847906,11.3167264405174,0,0.483027226497454,0.685386957641958
"dQ11S","|","t1",-0.606561256769953,0.051878362478126,-11.6919892570955,0,-0.708240978803994,-0.504881534735912
"dQ11S","|","t2",0.114518039966268,0.0486079229300142,2.35595419559793,0.0184751956441602,0.0192482616601412,0.209787818272394
"dQ11S","|","t3",0.718572335579438,0.0533294294693135,13.4742175704864,0,0.614048574503515,0.823096096655362
"dQ12S","|","t1",-0.251801512968073,0.0490549667501023,-5.13304828542257,2.85086730000828e-07,-0.347947481061084,-0.155655544875063
"dQ12S","|","t2",0.443084253516002,0.0502623774977523,8.81542568366997,0,0.344571803843051,0.541596703188953
"dQ12S","|","t3",1.1475401137956,0.0620852246970373,18.4833045123917,0,1.02585530941733,1.26922491817387
"dQ14S","|","t1",-0.819354710314238,0.0548984344194674,-14.9249194258204,0,-0.926953664584028,-0.711755756044448
"dQ14S","|","t2",0.0168640483795965,0.0484946848771652,0.347750447751385,0.728027606545242,-0.0781837874212665,0.111911884180459
"dQ14S","|","t3",0.629259790642423,0.0521484073984414,12.0667115648335,0,0.527050790290356,0.73146879099449
