id,theta,se
242,-0.44032165255594435,0.36063865949512564
243,-0.8971127894264832,0.37559479735330065
244,-1.4467749052637713,0.42360612072029785
245,0.43578063275118417,0.3144145653248588
246,-2.209060560155183,0.5445895672888367
247,1.2051641597878573,0.38091226871581135
248,2.5476933762892764,0.4814422998537258
249,0.28268628693479214,0.3975904305200147
250,-0.287580707284271,0.39305606492664286
251,-1.8624253569079359,0.483671237538342
252,-1.030422203113895,0.3900172959918138
253,-0.3421957897456912,0.4010539332854157
254,0.6284274037674227,0.3612436486618304
255,-0.5147153356556671,0.36334507982468434
256,0.33924049976814236,0.3172549680616311
257,0.2244883094166666,0.3230551313824252
258,0.9565536447113929,0.34026928871685674
259,0.412731918442331,0.3297907557396022
260,0.30000283880631023,0.31924506541586667
261,-0.7456479543628227,0.3768370993037372
262,0.24902841545571003,0.36174654905030795
263,-0.6562908932175001,0.35555301600274103
264,-1.2776418677219397,0.42784229198251944
265,0.23900778561497835,0.3319235683644171
266,0.9489604632568273,0.3627238587214057
267,0.09658266143299402,0.40492015271196347
268,-0.2870622023252306,0.36680679099695157
269,0.9721601102770385,0.34341313252815686
270,-0.34613206861203744,0.3458222857192501
271,0.8428023737942981,0.3577866331514129
272,-0.6545817370935227,0.3633249290523025
273,-0.4499111247462214,0.4001937400922735
274,-0.5039851623893661,0.37145295565831143
275,-0.964680662663478,0.42347583879350564
276,-0.15214883775269744,0.3701217304232096
277,-0.5378064732515406,0.3638323089124418
278,0.571101096624647,0.3720786036402682
279,0.2664538034714548,0.3701820949714611
280,0.44897262726204346,0.34266337059870183
281,0.5964002250792239,0.32997228311275417
282,0.47661196620745483,0.34227122773838187
283,-0.15084559699655095,0.3832649890251303
284,0.13479487345233176,0.3778584583311601
285,0.6285558385078767,0.34386065943948335
286,0.07673161030959992,0.40475990414450636
287,0.10794201878877237,0.32837188752049606
288,1.5004116501483609,0.35450686072792265
289,0.6409793438832357,0.37315929974748185
291,0.11421202642710207,0.32498582117469665
292,0.337236403240362,0.41280157249383764
293,-0.2561598702873542,0.35849512466230404
294,-0.32979485885623727,0.328839050945873
295,-1.1595395962989767,0.3942118554447431
296,0.12776767172257908,0.32783250356989446
297,0.29854004454841354,0.395409850703813
298,0.6766336849133777,0.3104553855266793
299,0.19287892244294558,0.3117697687190479
300,0.32073462018205523,0.4033407273846408
301,0.19287892244294558,0.3117697687190479
302,0.5731352434270961,0.3620159818795534
303,0.7973012477379501,0.3938105429947516
305,0.11797707170247097,0.35583584899670134
306,0.24794512572800434,0.3088209973161626
307,0.4745530792066544,0.3339296263968538
308,-1.3208581982183039,0.4093805285559316
309,-1.6234103536734852,0.44865504115802446
310,-1.1687915856353268,0.3935828970212996
311,-0.7471010296473078,0.4097374152733301
313,-0.7499856774986973,0.3511776505813489
317,0.48750170106786705,0.3272256498448691
318,0.41618919809619026,0.3959023171901494
319,-0.07624523992359059,0.3586607941093352
320,-0.9332697396741628,0.4005395636312846
321,0.3835775069817755,0.3114926514086743
322,0.648934198652725,0.32212836736928535
323,-2.444330827003849,0.5757453745866713
324,-0.8978344613666526,0.366237984527785
325,-0.12525565954934811,0.3602205143666216
326,0.4232251695013027,0.343612857981694
327,0.8408858568940364,0.3287814158938956
328,0.8816291182819332,0.36910050077889345
329,0.9846112531460113,0.43349337090056933
330,2.7986610348190903,0.5182714755229936
331,0.4475558472382689,0.3262891035578607
332,-0.5947966879933513,0.3626059048099457
333,-0.5303698261304695,0.3351025362031019
334,-0.7288604755629848,0.3629058229355537
335,0.3936510898160433,0.32971816822114086
336,-0.06378249099863162,0.3338901479504484
337,-0.25334757861442125,0.31732033160349427
338,-0.9481090926580565,0.4167624682507998
339,-0.9011008212506504,0.36549826602622415
340,-0.8970573493876483,0.42038386590802657
341,0.7575084114936346,0.3438106937068909
342,-0.30678329220113826,0.35843707900080257
343,-1.5102978037031118,0.4336286119727784
344,-1.313418251014313,0.4955435342404996
345,-0.4174762726709109,0.3467561867862935
346,-0.12161951221779603,0.32616211258505867
347,-0.15150670432831664,0.3365098983938635
348,-1.146836640286974,0.44748883463902384
349,-0.05152301909012819,0.34766346958143424
350,0.4817075403381193,0.38020637854357675
352,-0.9240330662276811,0.3666852074288861
353,0.29265391129549667,0.32547901373050675
354,0.501853409785594,0.39014632281266515
355,-0.5252079926662804,0.3629333562350547
356,-0.27676613952443546,0.4576516642878276
357,-0.6119359127314599,0.3814882933552857
358,-0.21270765836913702,0.3387336696949012
359,0.03907807340507338,0.3221225565204206
360,-0.10319318835165163,0.35332555099682017
361,1.3543868515708486,0.3752004774773228
362,0.2736639651466562,0.42351489524236186
363,1.7381965562555381,0.3848500396299068
364,0.8696149634484412,0.34044114543006654
368,2.6079890130710695,0.48560459736114464
369,2.0556876587065926,0.4182416024268753
370,1.9610048737452712,0.4184447649636549
371,1.248543775041806,0.3298883821608309
373,1.0209509204086584,0.37829934221889383
374,2.0293109968059424,0.4324732171888092
375,-0.2774645742072156,0.3396050124837272
377,0.16226616453753015,0.3688769889258583
379,0.6046499546236949,0.36489162130773456
380,-1.2326261611472933,0.39805360525900585
381,2.3144405704591873,0.5212616630385574
382,1.99195757990734,0.4409924975986329
383,0.7260174032056766,0.33327403005035355
384,1.1987030281686712,0.3246807933685064
385,0.6336476166957822,0.3215871884442328
386,1.1015196489547356,0.3423826436794417
387,-0.5573263513256487,0.3348387455289065
388,-0.7533694415197439,0.3733006412563792
389,0.9281344272749329,0.4465440434428908
390,1.2391870457064185,0.3327637417508625
391,-0.5309630303792753,0.34761106519744556
393,1.2566843126959084,0.39334279143832707
394,1.2105168272515419,0.3937806986476035
395,1.8629255880747375,0.38438685465577277
396,-1.111882102319367,0.4031825966711151
397,1.5486955036518402,0.3684574245934049
398,0.8380312017142861,0.32462282906197876
399,0.7985195095011122,0.35107839744514696
400,-0.5428183226833854,0.34480606464293834
401,0.931064881480742,0.39804010918627386
402,-0.03983201069896695,0.3352833156803315
403,-0.2160349494257495,0.3294612574722794
404,0.02044459999821139,0.34108658016261734
405,1.2755832816961286,0.3567410423429391
406,-0.8903544222113255,0.40543584959696327
407,-0.11202975268018918,0.3288615832857219
408,-0.6577440987618052,0.3670332914551125
409,-0.37403884021889355,0.3514897515913072
410,-0.2989710479137918,0.3493695630371759
412,-0.05440945299550723,0.3332426689208467
413,-0.130960907937583,0.36846284035585775
414,-1.1527345501035309,0.409485853893997
416,-0.8121980909566057,0.36972066151278726
417,-0.8482255799164096,0.4289631999513787
418,0.07353500088995613,0.3694655415924643
419,0.2336336837957979,0.3663051418080171
420,-1.283639310526706,0.40968797716010613
421,-0.9169280546033383,0.39462599096898654
422,-1.047448273002519,0.4022118217263729
423,-0.35509617752629974,0.36820374794668526
424,1.081764184307341,0.3273066638386924
425,0.24891619853121089,0.33198001129314775
426,0.2155930784428791,0.3312805988200097
427,-0.17986498412078245,0.38894715594614565
428,1.1216463342214555,0.36052872840406625
429,0.7827990860464717,0.3542665654760864
430,0.974230773637832,0.3296773577357767
431,-1.2765233351193763,0.4169408073743524
432,0.42973706348492113,0.34244867850417793
433,1.894399936018039,0.42561322954340675
434,-0.19659639407278104,0.3693138651620526
435,1.3630754302175743,0.3594042158688997
436,-0.4106194722608299,0.37945943501545415
438,1.2426009420964204,0.41382887470071944
