"lhs","op","rhs","block","group","level","mi","epc","sepc.lv","sepc.all","sepc.nox"
"dQ3D","~~","dQ18S",2,2,1,0.746036044675532,0.0980980408388531,0.0980980408388531,0.0790782110315438,0.0790782110315438
"dQ4A","~~","dQ9A",1,1,1,0.740357055019839,0.0826435314144523,0.0826435314144523,0.0826435314144523,0.0826435314144523
"dQ13D","~~","dQ7A",2,2,1,0.704014799939794,0.126975615060734,0.126975615060734,0.0817372455773968,0.0817372455773968
"Str","=~","dQ15A",2,2,1,0.702163499025798,-0.10717708460187,-0.117087049929434,-0.077335151475307,-0.077335151475307
"dQ20A","~~","dQ6S",2,2,1,0.700155126726225,0.0889929585321755,0.0889929585321755,0.0758114977150367,0.0758114977150367
"dQ17D","~~","dQ20A",1,1,1,0.699432109399597,-0.0812941269984964,-0.0812941269984964,-0.0812941269984964,-0.0812941269984964
"dQ3D","~~","dQ10D",1,1,1,0.686506712746766,-0.0784527180316915,-0.0784527180316915,-0.0784527180316915,-0.0784527180316915
"dQ15A","~~","dQ19A",2,2,1,0.684707820692377,-0.098852041082768,-0.098852041082768,-0.0801398261617688,-0.0801398261617688
"dQ8S","~~","dQ14S",2,2,1,0.680357559292189,-0.0918533651630609,-0.0918533651630609,-0.0684316111206521,-0.0684316111206521
"dQ17D","~~","dQ20A",2,2,1,0.679623375734064,-0.0856999393234239,-0.0856999393234239,-0.0844981012254409,-0.0844981012254409
"dQ3D","~~","dQ7A",1,1,1,0.672957384445684,-0.0738744520757066,-0.0738744520757066,-0.0738744520757066,-0.0738744520757066
"dQ6S","~~","dQ14S",2,2,1,0.66660104572283,-0.0886657465046548,-0.0886657465046548,-0.0604430095853849,-0.0604430095853849
"dQ3D","~~","dQ1S",2,2,1,0.666116212838552,-0.0785565342426649,-0.0785565342426649,-0.0669576684994966,-0.0669576684994966
"dQ3D","~~","dQ13D",2,2,1,0.663065054100188,0.0984800778827744,0.0984800778827744,0.0838504228413833,0.0838504228413833
"dQ21D","~~","dQ6S",2,2,1,0.658449440108408,0.0791099689121958,0.0791099689121958,0.0936170713930021,0.0936170713930021
"dQ15A","~~","dQ8S",2,2,1,0.647306487194272,-0.091476268190513,-0.091476268190513,-0.0850289400906161,-0.0850289400906161
"Dep","=~","dQ14S",1,1,1,0.644907819675659,-0.0549835516228614,-0.0549835516228614,-0.0495571384811878,-0.0495571384811878
"dQ3D","~~","dQ11S",1,1,1,0.643500555927939,0.0731182370755598,0.0731182370755598,0.0731182370755598,0.0731182370755598
"dQ9A","~~","dQ8S",2,2,1,0.641158854907061,-0.078803551530433,-0.078803551530433,-0.0772283060475411,-0.0772283060475411
"dQ13D","~~","dQ9A",2,2,1,0.636191256099725,-0.099877682316183,-0.099877682316183,-0.0864149151436607,-0.0864149151436607
"dQ20A","~~","dQ12S",1,1,1,0.635370109628363,-0.0692578087255036,-0.0692578087255036,-0.0692578087255036,-0.0692578087255036
"dQ1S","~~","dQ14S",1,1,1,0.632942432157909,-0.0555551943789293,-0.0555551943789293,-0.0555551943789293,-0.0555551943789293
"dQ10D","~~","dQ20A",1,1,1,0.627870826275047,-0.0860025733050913,-0.0860025733050913,-0.0860025733050913,-0.0860025733050913
"dQ20A","~~","dQ1S",2,2,1,0.626610608633809,-0.0814496011839444,-0.0814496011839444,-0.0670178589403025,-0.0670178589403025
"Str","=~","dQ19A",2,2,1,0.618888704399571,-0.0690766151045444,-0.0754636787494864,-0.0556642673630979,-0.0556642673630979
"dQ10D","~~","dQ19A",1,1,1,0.595195116674762,0.0783019052274567,0.0783019052274567,0.0783019052274567,0.0783019052274567
"dQ12S","~*~","dQ12S",2,2,1,0.592883014759548,-0.0751227218804671,-0.0751227218804671,-1,-1
"dQ12S","~*~","dQ12S",1,1,1,0.592755082244307,0.092082907177708,0.092082907177708,1,1
"dQ7A","~~","dQ9A",2,2,1,0.583142779656066,-0.0938530740491366,-0.0938530740491366,-0.0710742255240085,-0.0710742255240085
"dQ10D","~~","dQ4A",1,1,1,0.577177285063993,0.0816234791156892,0.0816234791156892,0.0816234791156892,0.0816234791156892
"dQ3D","~~","dQ7A",2,2,1,0.568106769501729,0.0959262532854699,0.0959262532854699,0.0714887556506326,0.0714887556506326
"dQ13D","~~","dQ17D",2,2,1,0.555078168206993,0.10093790390318,0.10093790390318,0.089050539716416,0.089050539716416
"dQ21D","~*~","dQ21D",1,1,1,0.545811335558892,-0.116200108948608,-0.116200108948608,-1,-1
"dQ21D","~*~","dQ21D",2,2,1,0.545740680016233,0.128199086796144,0.128199086796144,1,1
"dQ7A","~~","dQ18S",1,1,1,0.544543964471367,-0.0622846072357185,-0.0622846072357185,-0.0622846072357185,-0.0622846072357185
"dQ4A","~~","dQ20A",1,1,1,0.530128558107442,-0.0708344038999027,-0.0708344038999027,-0.0708344038999027,-0.0708344038999027
"dQ3D","~~","dQ9A",1,1,1,0.528790422103664,0.0668893080571413,0.0668893080571413,0.0668893080571413,0.0668893080571413
"dQ9A","~~","dQ12S",1,1,1,0.519473899393475,-0.0619099033749138,-0.0619099033749138,-0.0619099033749138,-0.0619099033749138
"dQ13D","~~","dQ15A",1,1,1,0.51654462755762,-0.0770858079911806,-0.0770858079911806,-0.0770858079911806,-0.0770858079911806
"dQ15A","~~","dQ14S",2,2,1,0.511956360541587,-0.0876732872592371,-0.0876732872592371,-0.0643443008293563,-0.0643443008293563
"dQ15A","~~","dQ14S",1,1,1,0.509984158303843,0.0704937088244993,0.0704937088244993,0.0704937088244993,0.0704937088244993
"dQ15A","~~","dQ11S",1,1,1,0.497597179273263,-0.0726398538759181,-0.0726398538759181,-0.0726398538759181,-0.0726398538759181
"dQ16D","~~","dQ15A",2,2,1,0.493575022926808,0.105594227007894,0.105594227007894,0.0765763701212945,0.0765763701212945
"dQ3D","~*~","dQ3D",2,2,1,0.492070553491015,0.0876345525180244,0.0876345525180244,1,1
"dQ3D","~*~","dQ3D",1,1,1,0.491977437707572,-0.0915882541526949,-0.0915882541526949,-1,-1
"dQ13D","~~","dQ1S",2,2,1,0.487805918080748,0.0876887821007943,0.0876887821007943,0.064559694081972,0.064559694081972
"dQ13D","~~","dQ9A",1,1,1,0.487605178135321,0.0703924018715257,0.0703924018715257,0.0703924018715257,0.0703924018715257
"dQ10D","~~","dQ12S",1,1,1,0.484543684653975,-0.0676632084044089,-0.0676632084044089,-0.0676632084044089,-0.0676632084044089
"dQ20A","~~","dQ14S",2,2,1,0.481671500515983,0.0784728697683246,0.0784728697683246,0.0576839409121626,0.0576839409121626
"Dep","=~","dQ20A",1,1,1,0.47241990565969,-0.0659084775731116,-0.0659084775731116,-0.0532139610079058,-0.0532139610079058
"dQ3D","~~","dQ19A",2,2,1,0.466171557582674,0.07279087691109,0.07279087691109,0.061227809157758,0.061227809157758
"Anx","=~","dQ5D",2,2,1,0.463710154781173,-0.0523869234823894,-0.0563937088319669,-0.0377043454524894,-0.0377043454524894
"dQ4A","~~","dQ15A",1,1,1,0.457955939765736,0.0740683959758899,0.0740683959758899,0.0740683959758899,0.0740683959758899
"dQ5D","~~","dQ11S",2,2,1,0.456510777698192,-0.0742395113264516,-0.0742395113264516,-0.0626622468236353,-0.0626622468236353
"dQ3D","~~","dQ16D",1,1,1,0.452214113346722,0.0632099676288699,0.0632099676288699,0.0632099676288699,0.0632099676288699
"dQ13D","~~","dQ19A",1,1,1,0.428906311444152,0.0644142571639957,0.0644142571639957,0.0644142571639957,0.0644142571639957
"dQ15A","~~","dQ19A",1,1,1,0.419360469670225,-0.0613537554953834,-0.0613537554953834,-0.0613537554953834,-0.0613537554953834
"dQ21D","~~","dQ18S",2,2,1,0.399009217063654,0.0709994365659622,0.0709994365659622,0.0767501775322098,0.0767501775322098
"dQ16D","~~","dQ8S",1,1,1,0.395904946759464,0.0626615261556509,0.0626615261556509,0.0626615261556509,0.0626615261556509
"dQ20A","~~","dQ8S",2,2,1,0.38948978168308,0.0665257294771053,0.0665257294771053,0.0619356306881469,0.0619356306881469
"dQ7A","~~","dQ19A",2,2,1,0.38581880847276,0.0828063871598855,0.0828063871598855,0.0526597029611798,0.0526597029611798
"dQ17D","~~","dQ15A",1,1,1,0.384009260408078,0.0673564871058696,0.0673564871058696,0.0673564871058696,0.0673564871058696
"Dep","=~","dQ15A",1,1,1,0.372414851120657,0.073851660177123,0.073851660177123,0.0517613503375539,0.0517613503375539
"dQ16D","~~","dQ4A",1,1,1,0.372076494078642,0.0598796454779583,0.0598796454779583,0.0598796454779583,0.0598796454779583
"dQ4A","~~","dQ7A",1,1,1,0.360773533723643,-0.0552296223729038,-0.0552296223729038,-0.0552296223729038,-0.0552296223729038
"dQ3D","~~","dQ15A",2,2,1,0.355417441452107,0.0705401069210549,0.0705401069210549,0.0670169341495273,0.0670169341495273
"dQ21D","~~","dQ14S",2,2,1,0.350889242033531,0.0641230704761861,0.0641230704761861,0.0654778037240318,0.0654778037240318
"dQ7A","~~","dQ15A",2,2,1,0.349278589531331,-0.0814965160888664,-0.0814965160888664,-0.0585369763293473,-0.0585369763293473
"dQ13D","~~","dQ15A",2,2,1,0.346622573192284,-0.0812434137301381,-0.0812434137301381,-0.0666708548544086,-0.0666708548544086
"dQ5D","~~","dQ12S",1,1,1,0.338355412726362,0.0486694125102402,0.0486694125102402,0.0486694125102402,0.0486694125102402
"dQ2A","~~","dQ11S",1,1,1,0.337900538676907,-0.0491343846960285,-0.0491343846960285,-0.0491343846960285,-0.0491343846960285
"dQ3D","~~","dQ6S",1,1,1,0.334708306498091,0.0494020154236575,0.0494020154236575,0.0494020154236575,0.0494020154236575
"Dep","=~","dQ6S",1,1,1,0.334333413776969,-0.0476761972663467,-0.0476761972663467,-0.0403384170558202,-0.0403384170558202
"dQ17D","~~","dQ19A",1,1,1,0.327654881308169,0.0520035785856266,0.0520035785856266,0.0520035785856266,0.0520035785856266
"dQ15A","~~","dQ6S",2,2,1,0.316682097016575,-0.0653197755654384,-0.0653197755654384,-0.0555560708344589,-0.0555560708344589
"dQ17D","~~","dQ18S",1,1,1,0.315566083500943,0.0523080779392459,0.0523080779392459,0.0523080779392459,0.0523080779392459
"dQ10D","~~","dQ7A",2,2,1,0.314844937695467,0.081699468490581,0.081699468490581,0.0578513540073715,0.0578513540073715
"dQ20A","~~","dQ11S",2,2,1,0.303700136494586,0.0540750781294727,0.0540750781294727,0.0572071200126898,0.0572071200126898
"dQ21D","~~","dQ12S",2,2,1,0.296463287900935,-0.0566639814909063,-0.0566639814909063,-0.0589442831829925,-0.0589442831829925
"dQ20A","~~","dQ12S",2,2,1,0.293260809667638,-0.0625969728062827,-0.0625969728062827,-0.0468752427003843,-0.0468752427003843
"dQ10D","~*~","dQ10D",2,2,1,0.292345314982715,-0.0545563730994762,-0.0545563730994762,-1,-1
"dQ10D","~*~","dQ10D",1,1,1,0.292279241119695,0.0598457149186924,0.0598457149186924,1,1
"dQ5D","~~","dQ1S",1,1,1,0.288022821667632,-0.040098738762288,-0.040098738762288,-0.040098738762288,-0.040098738762288
"dQ7A","~~","dQ15A",1,1,1,0.285961312737737,0.0558548201127821,0.0558548201127821,0.0558548201127821,0.0558548201127821
"dQ5D","~~","dQ11S",1,1,1,0.28229527615932,-0.0465703118069886,-0.0465703118069886,-0.0465703118069886,-0.0465703118069886
"dQ4A","~~","dQ7A",2,2,1,0.278593922613083,-0.0765080272279276,-0.0765080272279276,-0.0447676204681375,-0.0447676204681375
"dQ15A","~~","dQ8S",1,1,1,0.278534535775335,-0.0512101157181947,-0.0512101157181947,-0.0512101157181947,-0.0512101157181947
"dQ13D","~~","dQ20A",1,1,1,0.264607608744141,-0.0549251705995909,-0.0549251705995909,-0.0549251705995909,-0.0549251705995909
"dQ14S","~~","dQ18S",2,2,1,0.262350025662681,-0.0630734181231074,-0.0630734181231074,-0.0392769017431333,-0.0392769017431333
"dQ16D","~~","dQ6S",1,1,1,0.259728021779849,0.0488451180628908,0.0488451180628908,0.0488451180628908,0.0488451180628908
"dQ5D","~~","dQ16D",2,2,1,0.257610553407848,-0.073458183549946,-0.073458183549946,-0.0425701624728732,-0.0425701624728732
"dQ16D","~~","dQ1S",2,2,1,0.251469638329703,0.0613228165988813,0.0613228165988813,0.0398975529884959,0.0398975529884959
"dQ3D","~~","dQ15A",1,1,1,0.246840903726624,0.0499516465950332,0.0499516465950332,0.0499516465950332,0.0499516465950332
"dQ16D","~~","dQ14S",1,1,1,0.243239515294445,0.0423791781981584,0.0423791781981584,0.0423791781981584,0.0423791781981584
"dQ9A","~~","dQ19A",1,1,1,0.238996626436328,0.04392320167254,0.04392320167254,0.04392320167254,0.04392320167254
"dQ10D","~~","dQ15A",1,1,1,0.234301760868346,-0.0545881682805557,-0.0545881682805557,-0.0545881682805557,-0.0545881682805557
"dQ2A","~~","dQ7A",1,1,1,0.232501091513267,-0.0415588414929936,-0.0415588414929936,-0.0415588414929936,-0.0415588414929936
"dQ9A","~~","dQ1S",2,2,1,0.23125509265193,0.0492046163470743,0.0492046163470743,0.04261742800072,0.04261742800072
"dQ4A","~~","dQ6S",1,1,1,0.230251347721957,-0.0421667574501223,-0.0421667574501223,-0.0421667574501223,-0.0421667574501223
"Dep","=~","dQ4A",1,1,1,0.227725660382366,0.046222686102445,0.046222686102445,0.0392887085226871,0.0392887085226871
"dQ3D","~~","dQ10D",2,2,1,0.223796897637348,0.0535792050081197,0.0535792050081197,0.0501819764791126,0.0501819764791126
"dQ10D","~~","dQ2A",1,1,1,0.219721541686032,0.0454011156711743,0.0454011156711743,0.0454011156711743,0.0454011156711743
"Dep","=~","dQ18S",1,1,1,0.218063287061332,0.0414088568742527,0.0414088568742527,0.0351660409419344,0.0351660409419344
"dQ3D","~~","dQ6S",2,2,1,0.215375908928171,-0.0456901787348028,-0.0456901787348028,-0.0403198315989872,-0.0403198315989872
"Str","=~","dQ10D",2,2,1,0.211554715750226,0.0483805311002027,0.0528539629677808,0.035400334130015,0.035400334130015
