id,PC1,PC2,cluster,gender,academic_year,residence
126,-1.5309884766947786,-0.3508176253868585,C1,Male,1st Yr,Rural
131,-2.148605932664288,0.6940219047211038,C1,Female,1st Yr,Urban
132,-0.4776299019043089,0.39279317828312316,C1,Female,1st Yr,Urban
133,-1.839443990949177,-0.5340366135626426,C1,Female,1st Yr,Urban
134,-1.545375241830325,0.03466555122287884,C1,Male,1st Yr,Rural
135,1.8371296429733681,-0.10532237478245776,C2,Female,1st Yr,Suburb/Semi-Urban
137,-2.2508504718063005,0.47512554314878264,C1,Male,1st Yr,Urban
141,-1.4800345063185634,2.1509671282289644,C1,Female,1st Yr,Urban
142,-0.28564718986750604,0.7124777970778924,C1,Female,1st Yr,Urban
143,-0.004350091555390068,0.7146194177777809,C1,Female,1st Yr,Urban
145,-0.08056452768217336,0.18418396234506784,C1,Male,1st Yr,Suburb/Semi-Urban
