id,cluster_k,cluster
308,3,K3_C1
310,3,K3_C1
317,3,K3_C3
318,3,K3_C3
323,3,K3_C1
324,3,K3_C1
325,3,K3_C3
326,3,K3_C3
327,3,K3_C2
328,3,K3_C3
330,3,K3_C2
331,3,K3_C3
332,3,K3_C1
334,3,K3_C1
335,3,K3_C3
337,3,K3_C3
338,3,K3_C3
340,3,K3_C1
341,3,K3_C2
342,3,K3_C1
343,3,K3_C1
346,3,K3_C1
347,3,K3_C1
353,3,K3_C3
355,3,K3_C1
358,3,K3_C3
360,3,K3_C3
362,3,K3_C3
363,3,K3_C2
364,3,K3_C2
368,3,K3_C2
371,3,K3_C2
373,3,K3_C2
374,3,K3_C2
375,3,K3_C3
377,3,K3_C1
379,3,K3_C3
380,3,K3_C1
383,3,K3_C2
384,3,K3_C2
385,3,K3_C2
386,3,K3_C2
387,3,K3_C1
388,3,K3_C1
390,3,K3_C2
391,3,K3_C1
393,3,K3_C2
395,3,K3_C2
397,3,K3_C2
399,3,K3_C3
400,3,K3_C3
401,3,K3_C3
403,3,K3_C3
404,3,K3_C3
405,3,K3_C3
408,3,K3_C1
413,3,K3_C3
414,3,K3_C1
416,3,K3_C3
419,3,K3_C3
420,3,K3_C1
422,3,K3_C1
423,3,K3_C3
424,3,K3_C2
426,3,K3_C3
428,3,K3_C2
430,3,K3_C2
431,3,K3_C1
434,3,K3_C3
435,3,K3_C2
436,3,K3_C3
438,3,K3_C2
439,3,K3_C3
441,3,K3_C3
442,3,K3_C1
445,3,K3_C1
448,3,K3_C2
449,3,K3_C1
450,3,K3_C3
452,3,K3_C3
453,3,K3_C2
454,3,K3_C1
461,3,K3_C1
462,3,K3_C1
464,3,K3_C3
465,3,K3_C3
466,3,K3_C1
469,3,K3_C2
471,3,K3_C1
472,3,K3_C2
473,3,K3_C3
474,3,K3_C3
477,3,K3_C3
478,3,K3_C1
479,3,K3_C1
480,3,K3_C3
483,3,K3_C3
484,3,K3_C3
485,3,K3_C1
487,3,K3_C1
489,3,K3_C1
490,3,K3_C1
491,3,K3_C2
493,3,K3_C1
496,3,K3_C2
498,3,K3_C3
500,3,K3_C3
502,3,K3_C3
503,3,K3_C2
504,3,K3_C1
505,3,K3_C1
506,3,K3_C1
507,3,K3_C3
509,3,K3_C1
510,3,K3_C3
511,3,K3_C3
512,3,K3_C2
513,3,K3_C2
514,3,K3_C3
515,3,K3_C1
516,3,K3_C3
517,3,K3_C2
518,3,K3_C1
520,3,K3_C2
521,3,K3_C1
523,3,K3_C3
531,3,K3_C1
532,3,K3_C1
533,3,K3_C1
534,3,K3_C1
537,3,K3_C1
538,3,K3_C1
539,3,K3_C1
540,3,K3_C1
547,3,K3_C1
550,3,K3_C1
551,3,K3_C3
552,3,K3_C3
553,3,K3_C1
555,3,K3_C1
557,3,K3_C1
558,3,K3_C1
559,3,K3_C1
563,3,K3_C3
565,3,K3_C2
567,3,K3_C3
570,3,K3_C2
571,3,K3_C3
572,3,K3_C1
573,3,K3_C1
574,3,K3_C1
575,3,K3_C1
576,3,K3_C1
577,3,K3_C3
578,3,K3_C1
579,3,K3_C1
580,3,K3_C3
581,3,K3_C3
583,3,K3_C2
584,3,K3_C3
585,3,K3_C3
586,3,K3_C3
587,3,K3_C1
588,3,K3_C1
589,3,K3_C3
590,3,K3_C1
591,3,K3_C1
592,3,K3_C3
593,3,K3_C1
594,3,K3_C3
595,3,K3_C1
596,3,K3_C1
598,3,K3_C3
599,3,K3_C3
600,3,K3_C1
601,3,K3_C1
602,3,K3_C3
603,3,K3_C3
604,3,K3_C3
605,3,K3_C3
606,3,K3_C1
607,3,K3_C1
608,3,K3_C3
609,3,K3_C3
611,3,K3_C1
612,3,K3_C1
613,3,K3_C1
614,3,K3_C2
615,3,K3_C3
616,3,K3_C3
617,3,K3_C3
618,3,K3_C3
619,3,K3_C3
621,3,K3_C1
622,3,K3_C2
625,3,K3_C3
626,3,K3_C1
627,3,K3_C1
628,3,K3_C3
630,3,K3_C1
631,3,K3_C3
632,3,K3_C1
634,3,K3_C3
635,3,K3_C3
636,3,K3_C3
638,3,K3_C1
639,3,K3_C3
644,3,K3_C2
645,3,K3_C3
647,3,K3_C3
648,3,K3_C2
649,3,K3_C3
651,3,K3_C2
652,3,K3_C2
653,3,K3_C2
656,3,K3_C2
657,3,K3_C2
664,3,K3_C2
665,3,K3_C1
668,3,K3_C1
670,3,K3_C1
671,3,K3_C1
672,3,K3_C1
673,3,K3_C1
676,3,K3_C1
678,3,K3_C3
679,3,K3_C3
680,3,K3_C1
681,3,K3_C3
682,3,K3_C3
684,3,K3_C1
685,3,K3_C3
686,3,K3_C2
687,3,K3_C2
688,3,K3_C3
690,3,K3_C1
691,3,K3_C1
692,3,K3_C2
693,3,K3_C2
694,3,K3_C3
696,3,K3_C3
697,3,K3_C2
698,3,K3_C1
699,3,K3_C1
700,3,K3_C3
701,3,K3_C1
702,3,K3_C1
703,3,K3_C3
705,3,K3_C3
706,3,K3_C3
708,3,K3_C3
709,3,K3_C2
710,3,K3_C3
712,3,K3_C3
713,3,K3_C3
716,3,K3_C1
717,3,K3_C3
718,3,K3_C3
720,3,K3_C1
721,3,K3_C1
722,3,K3_C1
736,3,K3_C3
738,3,K3_C1
741,3,K3_C2
742,3,K3_C3
743,3,K3_C2
744,3,K3_C3
745,3,K3_C2
746,3,K3_C2
747,3,K3_C2
748,3,K3_C2
749,3,K3_C3
751,3,K3_C2
752,3,K3_C3
754,3,K3_C2
755,3,K3_C3
756,3,K3_C2
757,3,K3_C2
758,3,K3_C2
760,3,K3_C2
761,3,K3_C3
762,3,K3_C2
763,3,K3_C2
764,3,K3_C3
765,3,K3_C3
766,3,K3_C3
767,3,K3_C1
768,3,K3_C3
769,3,K3_C2
770,3,K3_C3
771,3,K3_C2
772,3,K3_C2
773,3,K3_C2
774,3,K3_C2
775,3,K3_C3
776,3,K3_C3
777,3,K3_C2
778,3,K3_C2
779,3,K3_C2
780,3,K3_C1
781,3,K3_C1
784,3,K3_C3
785,3,K3_C3
786,3,K3_C2
787,3,K3_C2
788,3,K3_C2
789,3,K3_C2
790,3,K3_C3
791,3,K3_C2
792,3,K3_C3
794,3,K3_C2
795,3,K3_C2
798,3,K3_C3
799,3,K3_C2
800,3,K3_C3
801,3,K3_C2
802,3,K3_C2
803,3,K3_C3
804,3,K3_C3
805,3,K3_C2
806,3,K3_C3
808,3,K3_C3
809,3,K3_C3
810,3,K3_C3
811,3,K3_C1
812,3,K3_C2
813,3,K3_C3
814,3,K3_C2
815,3,K3_C3
816,3,K3_C3
817,3,K3_C3
819,3,K3_C2
820,3,K3_C1
821,3,K3_C2
823,3,K3_C3
824,3,K3_C2
825,3,K3_C2
826,3,K3_C2
827,3,K3_C2
828,3,K3_C2
829,3,K3_C3
831,3,K3_C3
832,3,K3_C2
833,3,K3_C3
835,3,K3_C3
837,3,K3_C1
838,3,K3_C3
841,3,K3_C3
842,3,K3_C3
843,3,K3_C3
844,3,K3_C3
845,3,K3_C2
846,3,K3_C3
847,3,K3_C2
848,3,K3_C3
849,3,K3_C3
850,3,K3_C2
851,3,K3_C2
852,3,K3_C3
853,3,K3_C1
856,3,K3_C3
857,3,K3_C3
859,3,K3_C2
860,3,K3_C3
862,3,K3_C3
863,3,K3_C3
865,3,K3_C1
867,3,K3_C3
870,3,K3_C2
871,3,K3_C3
872,3,K3_C3
875,3,K3_C3
876,3,K3_C3
878,3,K3_C2
880,3,K3_C1
881,3,K3_C3
882,3,K3_C2
883,3,K3_C1
884,3,K3_C1
885,3,K3_C3
886,3,K3_C3
887,3,K3_C3
888,3,K3_C1
889,3,K3_C2
890,3,K3_C3
891,3,K3_C1
892,3,K3_C2
893,3,K3_C1
894,3,K3_C1
895,3,K3_C3
896,3,K3_C3
897,3,K3_C3
898,3,K3_C1
899,3,K3_C3
900,3,K3_C3
901,3,K3_C2
902,3,K3_C2
904,3,K3_C3
905,3,K3_C2
906,3,K3_C2
907,3,K3_C2
908,3,K3_C1
909,3,K3_C3
910,3,K3_C2
911,3,K3_C2
913,3,K3_C2
914,3,K3_C3
915,3,K3_C2
916,3,K3_C2
919,3,K3_C2
920,3,K3_C3
921,3,K3_C3
922,3,K3_C2
