"id","gender","academic_year","residence","Dep","Anx","Str","BRS"
551,"Male","4th Yr","Rural",-1.07900108550998,-0.65429307573095,-0.413913634009029,-0.185724402972535
552,"Male","4th Yr","Urban",-0.284483872930267,-0.847998161112581,-0.725437136832559,0.901336323718529
553,"Male","4th Yr","Rural",-1.82191708908493,-2.11174823250446,-1.8546932462155,-0.30199666974696
555,"Female","4th Yr","Urban",-2.56964379454688,-2.45692512027587,-2.22651504836672,0.517778209599461
557,"Male","4th Yr","Rural",-1.16411349849891,-1.95999505876615,-1.58160471860386,-0.453351823027479
558,"Male","4th Yr","Urban",-1.53110747461339,-1.52764594080631,-1.18293599949935,0.0669974462033362
559,"Male","4th Yr","Urban",-1.74472813278203,-1.80277287335616,-1.14676893657,1.07809305969695
563,"Male","4th Yr","Rural",0.222058369876057,-0.341002065336665,0.190508956586592,0.0230075367041036
565,"Female","4th Yr","Suburb/Semi-Urban",1.14679829923072,1.0393380353973,1.12427651100618,-0.562907817141202
567,"Male","4th Yr","Urban",-0.845661782195273,-0.392643771636292,-0.125681101947758,0.4117624481138
570,"Male","4th Yr","Suburb/Semi-Urban",0.939832380701025,0.110758844160594,0.558044200814619,-0.869075897054335
571,"Female","1st Yr","Urban",-0.809939176806714,0.353303211383313,0.189178743991455,-0.208962827959322
572,"Male","4th Yr","Urban",-2.34898410705807,-2.13445056891858,-1.9697178528226,0.726736124432833
573,"Male","4th Yr","Urban",-1.84297148680551,-1.44657354900293,-1.27752670692066,2.13368904386768
574,"Male","4th Yr","Urban",-1.27084984624573,-1.32674095428967,-1.03942287415835,0.6575594922403
575,"Male","4th Yr","Urban",-1.08582589138555,-1.04689289471428,-0.746556291037578,0.329479126428565
576,"Male","4th Yr","Urban",-1.23915790240456,-0.945325885841491,-1.03637778615352,-0.136856733640072
577,"Female","2nd Yr","Urban",-0.175562578409585,0.0420723175918945,0.142262805657613,0.160282108616238
578,"Male","2nd Yr","Suburb/Semi-Urban",-0.636580335612158,-1.3869412589118,-0.930809281550953,-0.0445790761040024
579,"Male","2nd Yr","Suburb/Semi-Urban",-1.29431725657535,-1.80305793184163,-1.63408104800152,-0.101176144035779
580,"Male","2nd Yr","Suburb/Semi-Urban",0.0185500572562689,-0.810912103973345,-0.413825764006328,-1.04387547350238
581,"Male","4th Yr","Rural",0.166196136552342,0.113645673819649,0.480283852084014,-0.381905035599028
583,"Male","2nd Yr","Urban",0.848723019483234,0.66251571368787,0.952128671987368,-0.484892718265023
584,"Male","2nd Yr","Suburb/Semi-Urban",1.15963598153661,0.704198838089955,1.14845777917781,0.308498574194034
585,"Male","2nd Yr","Suburb/Semi-Urban",0.194072834243219,-0.223969453567761,0.0855100733129423,-0.447989559768493
586,"Male","2nd Yr","Urban",-0.583482141078837,-1.2244826132612,-0.722606354150117,0.0434338269994503
587,"Male","2nd Yr","Suburb/Semi-Urban",-0.72244239189887,-1.61169764516697,-1.13199533175673,1.59564352084805
588,"Male","4th Yr","Rural",-1.14138565216746,-1.99523958662879,-1.38407402440504,-0.125768315865963
589,"Female","4th Yr","Urban",-0.158246366226368,0.599198209727243,0.842645417171621,-0.482766559324331
590,"Male","2nd Yr","Rural",-1.09217048255238,-1.97069509476288,-1.46617956175351,0.198805097876923
591,"Male","2nd Yr","Rural",-0.452818120059385,-2.55653303565976,-1.99085611927285,0.538656292633543
592,"Male","2nd Yr","Rural",-0.20197535631183,-0.884395542203164,-0.466189258904905,0.910009519394195
593,"Female","2nd Yr","Urban",-0.524154998452444,-1.28074051417013,-1.08122888965632,0.297734411208563
594,"Female","3rd Yr","Urban",0.129667812014988,0.0453627707032909,0.151346236312432,-0.560716791918825
595,"Male","1st Yr","Rural",-1.29669115660671,-1.42932340746524,-1.19830779421653,0.149192906177964
596,"Male","2nd Yr","Rural",-1.377515407617,-1.64109880622151,-1.27948248406325,0.00776885659383544
598,"Female","2nd Yr","Suburb/Semi-Urban",-0.175891376839865,0.0479509957384167,0.17832528159163,-0.422982345064707
599,"Female","2nd Yr","Rural",-0.486680780817371,-0.430236653440155,-0.248309146182997,-0.227271490704233
600,"Female","4th Yr","Urban",-1.27699731854376,-1.27357281170193,-1.03839926371671,0.586793708546433
601,"Male","4th Yr","Urban",-1.87094690388638,-1.88288204155327,-1.48752286817071,0.853775944865846
602,"Female","4th Yr","Urban",-0.274161142400201,-0.675245163347706,-0.310583797204586,-0.236634759588396
603,"Female","2nd Yr","Rural",-0.395982023629284,-0.568078488616376,-0.123299019593543,1.02010633883839
604,"Male","2nd Yr","Suburb/Semi-Urban",0.131196855658741,-0.796191415708932,-0.308900232495049,-0.495643486935851
605,"Female","2nd Yr","Urban",0.150966947503584,-0.217733636591207,0.141935924143499,0.155675769724441
606,"Male","2nd Yr","Suburb/Semi-Urban",-2.52239909012162,-3.27190830119596,-2.90141586464089,0.480815103888097
607,"Male","2nd Yr","Rural",-0.757452346214278,-1.1685698552996,-0.925021635765434,-0.161453286570767
608,"Male","2nd Yr","Rural",0.728342753593609,-0.547326360930521,-0.102632714619115,-0.399024054896558
609,"Male","2nd Yr","Suburb/Semi-Urban",-0.526878793817931,-0.782481945527001,-0.506703566698045,0.610908606703552
611,"Male","2nd Yr","Rural",-0.856812902556754,-1.40291835078066,-0.978970644970863,0.0464688386716053
612,"Male","2nd Yr","Urban",-1.37837079445988,-2.57123411292262,-1.88677545697146,0.623045817123576
613,"Male","2nd Yr","Rural",-1.03458198103109,-1.54044806836387,-0.95471795747952,0.390739632368397
614,"Female","2nd Yr","Rural",0.817470453199329,0.55523321103768,1.18658760719643,-0.849228505306378
615,"Male","2nd Yr","Rural",0.0326700684459149,-0.70578451212411,0.00285644730292498,-0.417604618787076
616,"Male","2nd Yr","Rural",-0.824584264077504,-0.715423641980356,-0.459348658995614,0.448783497079624
617,"Female","2nd Yr","Rural",0.570392147054472,0.310590590754455,0.532194237321369,-0.261835831082914
618,"Female","2nd Yr","Rural",0.199957959977353,0.744670292482371,0.662726809861278,-0.166477334190053
619,"Male","2nd Yr","Rural",-0.192593287842307,-0.849874906604826,-0.0762727723337333,-0.370520500507324
621,"Male","2nd Yr","Rural",-1.66579734575044,-2.34222768552455,-1.62570881203532,0.744787475700983
622,"Female","2nd Yr","Suburb/Semi-Urban",1.62366417291709,0.994155982560618,1.61772758787763,-1.12848360238571
625,"Male","2nd Yr","Rural",0.303501489242597,-0.438404343675005,0.111378953773346,-0.901723761568205
